地区ＣＤ,集計年月,緯度,経度,地区名,日本人男,日本人女,外国人男,外国人女
000803,202007,35.070585,134.004009,山北,1313,1438,3,10
000804,202007,35.076039,133.989406,総社,663,732,7,3
000805,202007,35.083801,133.99276,小原,1698,1897,9,15
000901,202007,35.079019,134.019755,志戸部,894,958,3,5
000902,202007,35.08725,134.025363,勝部,833,893,2,3
000903,202007,35.096046,134.024629,籾保,136,124,1,1
000904,202007,35.091593,134.014451,紫保井,245,230,0,2
000905,202007,35.091396,134.00579,大田,773,834,7,2
000906,202007,35.077169,134.012521,沼,914,940,8,11
000907,202007,35.074819,134.015296,弥生町,107,104,0,1
001001,202007,35.063948,133.968385,二宮,1271,1297,21,17
001101,202007,35.060132,133.95204,院庄,861,907,16,12
001102,202007,35.062965,133.941498,神戸,601,643,50,23
001103,202007,35.071245,133.950607,戸島,174,179,4,0
001201,202007,35.021364,133.964037,福田,153,170,2,2
001202,202007,35.035706,133.960202,高尾,147,188,3,0
001203,202007,35.038463,133.973837,皿,243,225,0,0
001204,202007,35.050094,133.969187,平福,789,808,18,12
001205,202007,35.053025,133.961575,中島,362,391,4,14
001206,202007,35.049317,133.980029,一方,658,714,11,2
001207,202007,35.057198,133.985525,津山口,384,390,4,1
001208,202007,35.05021,133.987988,井口,125,146,0,1
001301,202007,35.046604,133.996685,大谷,421,428,3,5
001302,202007,35.05524,133.999564,昭和町１丁目,41,44,1,1
001303,202007,35.055245,133.994647,昭和町２丁目,41,40,4,6
001304,202007,35.0559,134.002619,南町１丁目,27,28,1,1
001305,202007,35.048089,134.010616,横山,382,437,8,6
001306,202007,35.057049,134.016804,八出,327,313,1,2
001401,202007,35.037792,134.025846,小桁,65,60,0,0
001402,202007,35.028932,134.027501,金屋,19,24,0,0
001403,202007,35.014215,134.02164,押渕,48,52,0,0
001404,202007,35.0281,134.014306,荒神山,38,35,0,0
001405,202007,35.032961,133.996434,種,40,46,0,0
001501,202007,35.095902,133.962797,上田邑,472,459,1,3
001502,202007,35.076917,133.967838,下田邑,291,301,6,6
001601,202007,35.096002,133.98459,一宮,156,147,0,0
001602,202007,35.100988,134.002068,東一宮,2099,2116,8,17
001603,202007,35.12169,133.982525,東田辺,81,85,0,3
001604,202007,35.126151,133.973597,西田辺,38,42,0,0
001605,202007,35.11643,133.992111,山方,656,673,4,4
001701,202007,35.112675,134.023483,下横野,353,365,2,0
001702,202007,35.125823,134.034669,大篠,249,241,1,0
001703,202007,35.143993,134.00192,上横野,453,480,1,1
001801,202007,35.116798,134.051212,上高倉,161,163,0,4
001802,202007,35.095107,134.053581,下高倉東,160,191,1,0
001803,202007,35.093588,134.04075,下高倉西,484,491,4,2
001901,202007,35.135417,134.06411,吉見,103,95,0,0
001902,202007,35.117516,134.069218,綾部,282,281,0,0
002001,202007,35.11758,134.082893,堀坂,202,242,0,0
002002,202007,35.133553,134.082303,妙原,54,69,0,0
002003,202007,35.145056,134.086337,三浦,94,106,0,0
002101,202007,35.10081,134.067247,草加部,227,272,23,1
002102,202007,35.088162,134.067375,野村,249,262,2,0
002103,202007,35.083277,134.081943,近長,256,251,5,3
002104,202007,35.09606,134.081479,楢,156,144,3,4
002201,202007,35.067725,134.041278,押入,987,1020,2,19
002202,202007,35.079309,134.044076,高野山西,1010,1134,0,4
002203,202007,35.079419,134.061803,高野本郷,1655,1681,18,17
002301,202007,35.071946,134.074705,河面,431,438,0,1
002302,202007,35.059608,134.082164,福井,156,179,0,1
002303,202007,35.068153,134.091546,田熊,274,305,0,1
002401,202007,35.035619,134.057084,金井,89,115,0,0
002402,202007,35.032574,134.066712,中原,273,295,0,2
002403,202007,35.046576,134.066226,福力,109,109,11,0
002404,202007,35.0564,134.065637,新田,105,139,0,0
002405,202007,35.051298,134.055976,西吉田,529,540,0,38
002406,202007,35.042717,134.078532,池ケ原,165,175,0,0
002407,202007,35.026553,134.079239,堂尾,36,37,0,1
002501,202007,35.051025,134.041477,国分寺,970,1026,6,7
002502,202007,35.0508,134.027753,日上,362,385,1,3
002503,202007,35.031846,134.042859,瓜生原,245,279,0,10
002504,202007,35.059091,134.051726,河辺,1006,1051,24,9
003101,202007,35.214802,134.145461,加茂町物見,44,55,0,0
003102,202007,35.206189,134.117805,加茂町河井,37,32,0,1
003103,202007,35.207384,134.103286,加茂町山下,16,23,0,1
003104,202007,35.21015,134.090719,加茂町知和,86,102,1,1
003105,202007,35.210547,134.070755,加茂町青栁,93,106,0,2
003201,202007,35.184118,134.056375,加茂町塔中,143,171,0,2
003202,202007,35.178402,134.050411,加茂町小中原,125,163,0,4
003203,202007,35.184857,134.047418,加茂町齋野谷,40,50,0,0
003204,202007,35.19584,134.048504,加茂町戸賀,22,27,0,0
003205,202007,35.22349,134.04127,加茂町黒木,48,41,0,0
003206,202007,35.266393,134.052789,加茂町倉見,19,21,0,0
003207,202007,35.207244,134.018274,加茂町宇野,113,133,0,0
003208,202007,35.184137,134.009741,加茂町原口,33,30,0,0
003301,202007,35.1545,134.034182,加茂町行重,56,70,0,0
003302,202007,35.164886,134.022121,加茂町楢井,77,76,0,0
003303,202007,35.177141,134.031366,加茂町百々,59,64,0,0
003304,202007,35.173174,134.049434,加茂町中原,205,213,0,1
003305,202007,35.155259,134.06128,加茂町成安,99,95,1,0
003401,202007,35.171502,134.102892,加茂町下津川,57,71,0,0
003402,202007,35.171129,134.078429,加茂町公郷,287,317,0,2
003403,202007,35.17559,134.062239,加茂町桑原,192,193,2,1
003404,202007,35.187508,134.072136,加茂町小渕,33,38,0,0
004101,202007,35.262959,134.119141,阿波,215,251,0,1
005101,202007,35.107194,134.119964,新野東,353,391,1,0
005102,202007,35.129981,134.109165,西上,50,44,0,0
005103,202007,35.112606,134.107307,西中,255,289,7,26
005104,202007,35.107105,134.09628,西下,133,134,0,2
005105,202007,35.124666,134.09694,新野山形,218,231,15,9
005106,202007,35.112878,134.129951,日本原,159,190,0,3
005107,202007,35.133266,134.11638,市場,223,223,0,0
005108,202007,35.143479,134.124112,大岩,54,60,0,0
005109,202007,35.156973,134.134351,大吉,244,276,0,0
005110,202007,35.156938,134.11178,奥津川,31,39,0,0
005111,202007,35.100897,134.093103,上村,181,201,0,1
005112,202007,35.093011,134.097971,中村,142,160,0,2
005113,202007,35.090579,134.090875,杉宮,182,188,19,0
005114,202007,35.099956,134.102139,坂上,88,99,1,0
005115,202007,35.097632,134.117232,原,63,83,0,0
005116,202007,35.09141,134.110424,安井,272,276,1,1
005117,202007,35.081955,134.096608,上野田,91,114,0,1
005118,202007,35.075312,134.100329,下野田,71,89,0,0
006101,202007,35.051281,133.83739,坪井上,116,135,1,2
006102,202007,35.053025,133.864222,坪井下,162,188,2,7
006103,202007,35.074103,133.843551,中北上,191,210,0,0
006201,202007,35.088251,133.853209,宮部上,52,58,0,0
006202,202007,35.073622,133.882813,宮部下,192,221,0,2
006203,202007,35.06718,133.899463,中北下,184,208,1,0
006301,202007,35.051336,133.884741,南方中,365,388,0,2
006302,202007,35.046334,133.89538,一色,77,84,0,0
006303,202007,35.03905,133.907106,神代,130,168,9,0
006401,202007,35.048552,133.928297,久米川南,293,349,3,1
006402,202007,35.062762,133.911635,領家,150,150,0,1
006403,202007,35.057595,133.931063,宮尾,268,287,18,24
006501,202007,35.032019,133.931398,戸脇,77,79,0,0
006502,202007,35.025068,133.923174,桑下,151,168,0,0
006503,202007,35.020847,133.915976,桑上,90,98,3,1
006504,202007,35.014505,133.912109,福田下,35,34,0,1
006505,202007,34.998398,133.899339,八社,57,56,0,0
006601,202007,35.013308,133.899304,油木下,62,70,0,0
006602,202007,35.001578,133.884214,油木上,59,62,0,0
006603,202007,35.016482,133.890505,油木北,114,142,0,3
006604,202007,35.030257,133.897366,里公文,154,160,0,0
006605,202007,35.031542,133.88111,里公文上,3,6,0,0
